Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,0.1pF,Capacitors_SMD:C_0805_HandSoldering,
C2 C3 ,2,1uF,Capacitors_SMD:C_0805_HandSoldering,
C4 ,1,2.2uF,Capacitors_SMD:C_0805_HandSoldering,
P1 ,1,SHLD1,Pin_Headers:Pin_Header_Straight_1x01,
P2 ,1,SHLD2,Pin_Headers:Pin_Header_Straight_1x01,
P3 ,1,CIN,Pin_Headers:Pin_Header_Straight_1x04,
P4 ,1,CPAD1,Pin_Headers:Pin_Header_Straight_1x01,
P5 ,1,CSHLD,Pin_Headers:Pin_Header_Straight_1x01,
P6 ,1,CPAD2,Pin_Headers:Pin_Header_Straight_1x01,
P7 ,1,I2C,Pin_Headers:Pin_Header_Straight_1x02,
P8 ,1,Power,Pin_Headers:Pin_Header_Straight_1x03,
Q1 Q2 ,2,BSS138,TO_SOT_Packages_SMD:SOT-23,
R1 R2 R3 R4 ,4,10k,Resistors_SMD:R_0805_HandSoldering,
U1 ,1,TI_FDC1004,Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm,http://www.ti.com/lit/ds/symlink/fdc1004.pdf
U2 ,1,TPS70933DBV,TO_SOT_Packages_SMD:SOT-23-5,
